registration_number,registry_name,foi_name,match_score,postcode_areas,postcode_count,cities,geographic_reach
PF000391,McCarthy & Stone Management Services Limited,McCarthy & Stone Management Services Limited,100.0,"AB15,EH10,EH14,EH15,EH16,EH39,EH4,EH41,G41,G44,G46,G61,G62,G64,G77,IV2,KA7,KY10,KY13,KY16,ML3,PA2,PH10,PH2",24,,national
PF000469,McKenzie Accountants Ltd,McKenzie Accountants Ltd,100.0,EH12,1,,local
PF001004,McNeill Maguire & McCreath Surveyors Limited,McNeill Maguire & McCreath Surveyors Limited,100.0,"EH6,EH7",2,,local
PF000786,Melfort Pier Homeowners Association,Melfort Pier Homeowners Association,100.0,PA34,1,OBAN,local
PF000388,Melville Housing Association Limited,Melville Housing Association Limited,100.0,"EH19,EH20,EH22,EH23,EH26",5,,regional
PF001066,Metropole Glasgow Limited,Metropole Glasgow Limited,100.0,G1,1,,local
PF000959,Mezzino Limited,Mezzino Limited,100.0,AB24,1,,local
PF000339,MHA Auchlochan,MHA Auchlochan,100.0,ML11,1,Lesmahagow,local
PF000955,Miller Property Management Ltd,Miller Property Management Ltd,100.0,"G3,G32,G42,G71,G72,G74,KA15,KA22,KA7,ML1,ML10,ML11,ML2,ML3,ML4,ML5,ML6,ML8,ML9,PA2",20,,national
PF000368,Milnbank Property Services Ltd,Milnbank Property Services Ltd,100.0,"G31,G33,G4",3,,local
PF000125,Molendinar Park Housing Association,Molendinar Park Housing Association,100.0,"G30,G31,G40",3,,local
PF000249,Morison Walker Property Management Ltd,Morison Walker Property Management Ltd,100.0,"G3,G53,KA11,KA29,KA30,ML10,PA12,PA13,PA14,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA23",17,,national
PF000290,MXM Property Solutions Ltd,MXM Property Solutions Limited,100.0,"G20,G41",2,,local
PF000177,Myreside Management Limited,Myreside Management Limited,100.0,"EG5,EH1,EH10,EH11,EH12,EH13,EH14,EH15,EH16,EH2,EH26,EH3,EH4,EH5,EH6,EH7,EH8,EH87,EH9",19,,national
PF000569,Naver Ltd,Naver Ltd,100.0,KW14,1,,local
PF000338,New Gorbals Housing Association Limited,New Gorbals Housing Association Limited,100.0,"G41,G5",2,,local
PF000108,Newton Property Management Ltd,Newton Property Management Ltd,100.0,"AB10,AB11,AB12,AB13,AB14,AB15,AB21,AB22,AB23,AB24,AB25,AB31,AB32,AB34,AB35,AB39,AB41,AB42,AB43,AB51,AB56,DD1,DD10,DD2,DD3,DD5,DD7,DD8,DD9,DG10,DG16,EH11,EH12,EH14,EH19,EH21,EH22,EH26,EH48,EH49,EH52,EH54,EH6,EH7,FK10,FK15,FK17,FK2,FK3,FK4,FK5,FK6,FK7,FK8,FK9,G1,G11,G12,G13,G14,G2,G20,G21,G3,G31,G32,G33,G4,G40,G41,G42,G43,G44,G46,G5,G51,G52,G53,G60,G61,G62,G63,G65,G67,G68,G69,G71,G72,G73,G74,G75,G76,G77,G78,G8,G81,G82,G83,G84,IV1,IV10,IV12,IV14,IV15,IV16,IV18,IV19,IV2,IV25,IV26,IV3,IV30,IV31,IV32,IV36,IV4,IV5,IV63,IV7,IV8,IV9,KA1,KA10,KA11,KA12,KA13,KA15,KA18,KA2,KA21,KA23,KA26,KA29,KA3,KA30,KA6,KA7,KA8,KA9,KW9,KY11,KY12,KY16,KY3,KY4,KY5,KY8,M11,ML1,ML10,ML11,ML2,ML3,ML4,ML5,ML6,ML7,ML76,ML8,ML9,PA1,PA11,PA12,PA13,PA14,PA15,PA16,PA17,PA18,PA19,PA2,PA20,PA23,PA3,PA4,PH2,PH22,PH26,PH3,PH33,PH7,TD6,TD9",183,,national
PF000349,NG Property (Scotland) Limited,NG Property (Scotland) Limited,100.0,"G20,G21,G22",3,"Glasgow, G21,Glasgow, G22",local
PF000263,North Ayrshire Council,North Ayrshire Council,100.0,"KA11,KA12,KA13,KA14,KA15,KA20,KA21,KA22,KA23,KA24,KA25,KA30,PA17",13,,regional
PF000348,North Glasgow Housing Association Limited,North Glasgow Housing Association Limited,100.0,"G21,G22",2,,local
PF000303,North Lanarkshire Council,North Lanarkshire Council,100.0,"G33,G56,G65,G66,G67,G68,G69,G71,ML1,ML2,ML4,ML5,ML6,ML7",14,,regional
PF000246,North View Housing Association Limited,North View Housing Association Limited,100.0,G45,1,Glasgow,local
PF000847,Northwood Edinburgh Ltd,Northwood Edinburgh Ltd,100.0,EH9,1,,local
PF000759,NRV Management Glasgow Limited,NRV Management Glasgow Limited,100.0,G52,1,,local
PF000264,Oak Tree Housing Association Limited,Oak Tree Housing Association Limited,100.0,"PA15,PA16,PA18,PA19",4,"Gourock,Greenock,Wemyss Bay",local
PF000367,Ochil View Housing Association Ltd,Ochil View Housing Association Ltd,100.0,"FK10,FK11,FK13,FK14,KY12",5,"Alloa,Dollar,High Valleyfield,Menstrie,Oakley,Tillicoutry,Tullibody",regional
PF001036,On Tranquil Shores Ltd,On Tranquil Shores Ltd,100.0,PA34,1,,local
PF000639,Ore Valley Housing Association Ltd,Ore Valley Housing Association Ltd,100.0,KY5,1,Cardenden,local
PF000281,Orkney Housing Association Ltd,Orkney Housing Association Ltd,100.0,"KW15,KW16,KW17",3,"Burray,Deerness,Dounby,Finstown,Holm,Kirkwall,Orphir,St Margaret's Hope,Stenness,Stromness",local
PF000738,Orkney Islands Property Developments Limited,Orkney Islands Property Developments Limited,100.0,KW15,1,Kirkwall,local
PF000305,Paisley South Property Services Limited,Paisley South Property Services Limited,100.0,"PA1,PA2",2,,local
PF000996,Palms Property Management Ltd,Palms Property Management Ltd,100.0,DD3,1,"Auchterhouse, Dundee",local
PF000282,Paragon Housing Association Ltd,Paragon Housing Association Ltd,100.0,"FK1,FK10,FK102EA,FK103DT,FK11,FK13,FK2,FK3,FK5,FK6,FK7,FK8,FK9,POSTCODE",14,"Aberfoyle,Alloa,Camelon,Denny,Falkirk,Fallin,Fishcross,Grangemouth,Menstrie,Plean,Sauchie,Stenhousemuir,Stirling,Tillicoultry",regional
PF000423,Park Property Management Limited,Park Property Management Limited,100.0,"EH4,EH48,EH49,EH8,FK1,FK2,FK8,G1,G11,G12,G2,G20,G3,G31,G33,G46,G51,G61,G62,G64,G72,G73,G82,G83,KA3,KY1,KY10,KY16,ML10,ML3,ML4,PA1",32,,national
PF000252,Parkhead Housing Association Limited,Parkhead Housing Association Limited,100.0,"G31,G40",2,,local
PF000165,Partick Works Limited,Partick Works Limited,100.0,"G11,G12,G20,G3",4,,local
PF001039,Pavillion Properties Limited,Pavillion Properties Limited,100.0,"DD1,DD3,DD4",3,,local
PF000715,Pentland Community Enterprises Limited,Pentland Community Enterprises Limited,100.0,"KW1,KW14",2,,local
PF000395,Perth & Kinross Council,Perth & Kinross Council,100.0,"PH1,PH2",2,,local
PF000729,Peter Cusack Property Consultancy Limited,Peter Cusack Property Consultancy Limited,100.0,"G3,G5",2,,local
PF001011,Philip Bald Accountancy Limited,Philip Bald Accountancy Limited,100.0,EH11,1,,local
PF000151,Pineview Housing Association Ltd,Pineview Housing Association Ltd,100.0,G15,1,Drumchapel,local
PF001010,Piper Lettings Ltd,Piper Lettings Ltd,100.0,EH11,1,,local
PF000756,PLS Rural Limited,PLS Rural Limited,100.0,PH1,1,,local
PF000100,PMC Property Management & Lettings Ltd,PMC Property Management & Lettings Ltd,100.0,"AB10,AB11,AB12,AB15,AB21,AB22,AB23,AB24,AB25,AB31,AB32,AB33,AB34,AB39,AB41,AB42,AB43,AB51,AB52,AB56,AN15,DD10,DD4,FK8,G68,IV2,IV30,IV31,IV36,KA3,KY16,PH1,PH14,PH2,SK8",35,,national
PF001014,Prem Apart Edinburgh Limited,Prem Apart Edinburgh Limited,100.0,EH3,1,,local
PF000508,Premier Properties Perth Limited,Premier Properties Perth Limited,100.0,PH1,1,,local
PF000204,Prospect Community Housing Ltd,Prospect Community Housing Ltd,100.0,EH14,1,,local
PF000389,Provanhall Housing Association,Provanhall Housing Association,100.0,G34,1,Glasgow,local
PF000381,Quarriers,Quarriers,100.0,PA11,1,Bridge of Weir,local
PF000258,Queens Cross Factoring Limited,Queens Cross Factoring Limited,100.0,"G11,G12,G2,G20,G22,G3,G32,G4",8,,regional
PF000110,Redpath Bruce Property Management Limited,Redpath Bruce Property Management Limited,100.0,"DD1,DD11,EH1,EH10,EH11,EH12,EH13,EH14,EH16,EH2,EH21,EH29,EH3,EH30,EH39,EH4,EH5,EH6,EH7,EH8,FK2,FK6,FK7,FK9,G1,G11,G12,G13,G14,G2,G20,G21,G22,G3,G31,G32,G33,G4,G41,G42,G43,G44,G46,G5,G51,G52,G6,G61,G62,G63,G66,G69,G71,G72,G73,G74,G76,G77,G78,G81,G84,KA1,KA10,KA12,KA22,KA3,KA6,KA7,KA8,KA9,KY10,KY11,KY16,KY7,LS2,ML1,ML2,ML3,ML6,PA1,PA10,PA14,PA16,PA4,PA6,PA8,PH1,PH2",88,,national
PF000564,Regent Factor Ltd,Regent Factor Ltd,100.0,"G12,G2,G3,G31,G42",5,,regional
PF000099,Reidvale Housing Association,Reidvale Housing Association,100.0,"G31,G311DU",2,,local
PF000831,Rendall and Rittner Limited,Rendall and Rittner Limited,100.0,"EH3,G3",2,,local
PF000284,Renfrewshire Council,Renfrewshire Council,100.0,"PA1,PA2,PA3,PA4,PA5",5,,regional
