registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status
PF000311,Be Factored Ltd,Be Factored Ltd,Company,"2a North Kirklands, Eaglesham Road, Glasgow, G76 0NT",Eaglesham Road,G76 0NT,,0,Registration expired on 10/11/2016
PF000312,Be Maintained,Be Maintained,Company,"2a North Kirklands, Eaglesham Road, Glasgow, G76 0NT",Eaglesham Road,G76 0NT,,0,Registration expired on 10/11/2016
PF000845,Beacon Brooke Limited,Beacon Brooke Limited,Company,"216 West George Street, Glasgow, G2 2PQ",Glasgow,G2 2PQ,,0,Registration expired on 29/11/2022
PF001149,Beechside Properties Ltd,Beechside Properties Ltd,Company,"Beechside House, Auchry, Turriff, AB53 5TG",Beechside House,AB53 5TG,,0,Registered
PF000626,Bell Ingram LLP,Bell Ingram LLP,Partnership,"Durn, Isla Road, Perth, PH2 7HF",Durn,PH2 7HF,,135,Registered
PF000266,Bellsmyre Housing Association,Bellsmyre Housing Association,Registered Social Landlord,"16 Merkins Avenue, Bellsmyre, Dumbarton, G82 3EB",Bellsmyre,G82 3EB,,0,Registration expired on 25/10/2022
PF000439,Belvoir Lettings Inverness,Belvoir Lettings Inverness,Company,"18 Queensgate, Inverness, IV1 1DJ",Inverness,IV1 1DJ,,0,Registration expired on 04/05/2016
PF000539,Belvoir Lettings(Moray) Ltd,Belvoir Lettings(Moray) Ltd,Company,"22 Thunderton Place, Elgin, IV30 1BG",Elgin,IV30 1BG,,0,Registration expired on 20/06/2023
PF000721,BeneFactors Property Management Limited,BeneFactors Property Management Limited,Company,"7 Queens Gardens, Aberdeen, AB15 4YD",Aberdeen,AB15 4YD,https://www.benefactorsproperty.co.uk,262,Registered
PF000146,Bield Housing & Care,Bield Housing & Care,Registered Social Landlord,"79 Hopetoun Street, Edinburgh, EH7 4QF",Edinburgh,EH7 4QF,https://www.bield.co.uk,91,Registered
PF000446,Black Hay,Black Hay,Partnership,"45-47 Main Street, Prestwick, KA9 1AF",Prestwick,KA9 1AF,,0,Registration expired on 21/06/2022
PF000422,Blackadders LLP,Blackadders LLP,Partnership,"34 Reform Street, Dundee, DD1 1RJ",Dundee,DD1 1RJ,,0,Registration expired on 10/07/2025
PF000298,Blackwood Homes & Care,Blackwood Homes & Care,Registered Social Landlord,"160 Dundee Street, Edinburgh, EH11 1DQ",Dundee,EH11 1DQ,,0,Registration expired on 09/09/2025
PF000276,Blairtummock Housing Association Limited,Blairtummock Housing Association Limited,Registered Social Landlord,"45 Boyndie Street, Easterhouse, Glasgow, G34 9JL",Easterhouse,G34 9JL,http://www.scottishhousingconnections.org/HA/Blair,96,Registered
PF000257,Blochairn Housing Association Ltd,Blochairn Housing Association Ltd,Registered Social Landlord,"1 Blochairn Road, Glasgow, G21 2ED",Glasgow,G21 2ED,https://www.blochairn.org,31,Registered
PF000441,Block Property Management Ltd,Block Property Management Ltd,Company,"1-3 St Marys Place, Bury, BL9 0DZ",Bury,BL9 0DZ,https://www.blockpropertymanagement.com,2,Registered
PF001101,Blocsphere Property Management,Blocsphere Property Management,Company,"Derwent House, Eco Park Road, Ludlow, Shropshire, SY8 1FF",Derwent House,SY8 1FF,https://blocsphere.co.uk/,0,Registered
PF000869,Blosshome Property Management Ltd,Blosshome Property Management,Company,"18 Castle Street, Port Bannatyne, PA20 0ND",Port Bannatyne,PA20 0ND,,22,Registered
PF000449,Blythswood Property Management Ltd,Blythswood Property Management Ltd,Company,"Munro House, Quarrywood Court, Livingston, EH54 6AX",Munro House,EH54 6AX,https://www.blythswoodpm.co.uk,680,Registered
PF000714,Bondsave Limited,Braemore Sales & Lettings,Company,"Orchard Brae House, Level 2, 30 Queensferry Road, Edinburgh, EH4 2HS",Orchard Brae House,EH4 2HS,,0,Registration expired on 18/04/2023
PF000244,Boomerang Factoring,Boomerang Factoring,Company,"534 CROW ROAD, GLASGOW, G13 1NU",Glasgow,G13 1NU,,0,Registration expired on 03/11/2015
PF000720,Bowbridge Properties (UK) Limited,Bowbridge Properties (UK) Limited,Company,"7 Balmossie Green, Broughty Ferry, Dundee, DD5 3GD",Broughty Ferry,DD5 3GD,,0,Registration expired on 15/04/2020
PF001016,Bowman Rebecchi Limited,Bowman Rebecchi Limited,Company,"Suite 2, 32-36 Kempock Street, Gourock, PA19 1NA",Gourock,PA19 1NA,https://www.bowmanrebecchi.com,16,Registered
PF000462,Braemar Estates Limited,Braemar Estates Limited,Company,"BRAEMAR ESTATES, RICHMOND HOUSE, HEATH ROAD, HALE, WA14 2XP",BRAEMAR ESTATES,WA14 2XP,,0,Registration expired on 04/11/2019
PF000706,BRD Property Ltd,BRD Property Ltd,Company,"Flat 4 , Barron house, 88 high street, Nairn, IV12 4AU",Nairn,IV12 4AU,,0,Registration expired on 18/01/2023
