registration_number,name,status
PF000700,Geraghty-Gibb Property Management Ltd,Expired
PF000848,GES Developments Ltd (GES Developments Ltd),Expired
PF000975,Gilmour Property Services Ltd,Active
PF000806,Glasgow Factoring Ltd (Glasgow Factoring Ltd),Expired
PF000347,Glasgow Harbour Management Ltd,Active
PF000329,Glasgow West Enterprises Limited,Active
PF000328,Glasgow West Housing Association,Expired
PF000173,Glen Oaks Housing Association Ltd,Active
PF000369,Glenham Property Management,Expired
PF000431,Globe Housing (Scotland) Limited,Active
PF000905,Goldmont Thompson Ltd,Active
PF000588,Gordon McKinlay,Expired
PF000163,Gordon McTavish,Active
PF000868,Gordon Morton,Expired
PF000519,Gordon Ritchie trading as Connons,Expired
PF000200,Govan Housing Association Limited,Expired
PF000118,Govanhill Housing Association Limited,Active
PF000791,GPS Legal And Estate Ltd,Expired
PF000143,Graham & Sibbald,Expired
PF000192,Grampian Housing Association Limited,Active
PF000300,Grant and Wilson Property Management Limited,Expired
PF001130,Granton Factors Ltd,Active
PF000191,Greenbelt Group Limited,Active
PF000188,Greenhome Property Management Limited,Expired
PF000472,Grieg McKinnin Baxter,Expired
PF001106,Grierson Property Management Ltd,Active
PF000825,Guild Homes (Tayside) Ltd,Active
PF000529,GVA Grimley Limited,Expired
PF000351,H&H Properties (UK) Ltd,Expired
PF000288,Hacking & Paterson Management Services Limited,Active
PF000411,Hadden Construction Limited,Expired
PF000140,Hanover (Scotland) Housing Association Limited,Active
PF000283,Harbour Homes Scotland Limited,Active
PF001085,Harland (UK) Ltd,Active
PF000183,Hebridean Housing Partnership Limited,Active
PF000448,Higher Ground Consultancy Limited,Expired
PF000337,Highland Club Management Company Limited,Active
PF000712,Highland Residential (Inverness) Limited,Active
PF000294,Hillcrest Homes (Scotland) Ltd,Active
PF000611,Hillcrest Maintenance Services Ltd,Expired
PF000360,Hjaltland Housing Association Limited,Active
PF001025,HLM Management (Scotland) Limited (HLM Management (Scotland) Limited),Active
PF000277,Home Group Scotland,Active
PF000936,Homecare Factors Ltd (Homecare Factors Ltd),Expired
PF000219,Homes for Life Housing Partnership,Active
PF000484,Homesbook Factoring Limited,Active
PF000385,Horizon Housing Association Limited,Active
PF000438,Houston Construction Services,Expired
PF000453,Hughes Turner Ltd,Expired
PF000713,Hunters Estates,Expired
PF000820,Ian Rice (Ian Rice),Expired
PF000356,IB Murray & Son,Expired
PF000425,IME Property Group,Expired
PF000735,Imperial Guard Services Limited,Active
PF000803,Indigo Square Property Factor Ltd (Indigo Square),Expired
PF000690,Indigo Square Property Ltd,Expired
PF000843,Indigo Square Property Ltd,Active
PF000362,Individually Designed Homes Ltd,Active
PF000575,Inspired Design & Development Ltd,Expired
PF000321,Integro Property Management Ltd,Active
PF000112,Irvine Housing Association Limited,Active
PF000724,J & M Property Services (Shotts) Limited,Expired
PF000420,J Reavley Factoring Ltd,Expired
PF000985,J S CAMPBELL MRICS,Active
PF000535,J V Carroll,Expired
PF000187,J. B. & G Forsyth Property Management Services,Active
PF000779,J&E Shepherd,Active
PF000103,James Gibb Property Management Ltd,Active
PF000537,Jamie McBride,Active
PF000507,Jan Smienk Plumbing and Heating,Expired
PF000799,JFK Facility Services Ltd,Active
PF000437,JFK Property Management Ltd,Expired
PF000892,JM Hume Properties Limited (JM Hume Properties Limited),Expired
PF001018,Jock Bros LTD,Active
PF000424,John Campbell (J S Campbell MRICS),Expired
PF000483,John Lessels,Active
PF001145,John Mullan,Active
PF000630,John Mullan (Mullan & Co),Expired
PF000836,John Thornton (FLC Property Services),Expired
PF000887,Joseph Curley,Active
PF000597,Just Property Factoring Limited,Expired
