registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000537,Jamie McBride,Crescent House Property,Sole Trader,"2 Greenhill Gardens, Edinburgh, EH10 4BW",Edinburgh,EH10 4BW,https://www.crescenthouse.co.uk,6,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000507,Jan Smienk Plumbing and Heating,Jan Smienk Plumbing and Heating,Sole Trader,"Big Barns, Dunrobin, Golspie, KW10 6SF",Big Barns,KW10 6SF,,0,Registration expired on 16/01/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000799,JFK Facility Services Ltd,JFK Facility Services Ltd,Company,"Summit House, 4-5 Mitchell, Edinburgh, EH6 7BD",Summit House,EH6 7BD,https://www.jfkservices.co.uk,53,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000437,JFK Property Management Ltd,JFK Property Management Ltd,Company,"Commercial House, 2 Rubislaw Terrace, Aberdeen, AB10 1XE",Commercial House,AB10 1XE,,0,Registration expired on 24/06/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000892,JM Hume Properties Limited,JM Hume Properties Limited,Company,"Dundee Airport, Riverside Drive, Dundee, DD2 1UH",Dundee,DD2 1UH,,0,Registration expired on 05/12/2023,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001018,Jock Bros LTD,Jock Bros LTD,Company,"3 Priest Hill View, Stevenston, KA20 4AT",Stevenston,KA20 4AT,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000424,John Campbell,J S Campbell MRICS,Sole Trader,"3/7 Cockalane View, Strathblane, Glasgow, G63 9BE",Strathblane,G63 9BE,,0,Registration expired on 25/10/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000483,John Lessels,John Lessels,Sole Trader,"Springfield, Polton Road West, Lasswade, EH18 1EB",Springfield,EH18 1EB,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001145,John Mullan,John Mullan,Sole Trader,"23 Stuart Street, East Kilbride, G74 4NG",East Kilbride,G74 4NG,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000630,John Mullan,Mullan & Co,Sole Trader,"10 Dalrymple Dr, East Mains, -, East Kilbride, G74 4LE",East Mains,G74 4LE,,0,Registration expired on 07/12/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000836,John Thornton,FLC Property Services,Sole Trader,"Unit  4 Granitehill Centre, Aberdeen, AB16 7AX",Aberdeen,AB16 7AX,,0,Registration expired on 24/08/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000887,Joseph Curley,East Kilbride Factoring,Sole Trader,"25 Brisbane Terrace, East Kilbride, G75 8DL",East Kilbride,G75 8DL,,105,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000597,Just Property Factoring Limited,Just Property Factoring Limited,Company,"Suite 2, 3rd Floor, 101 Portman Street, Glasgow, G41 1EJ",Glasgow,G41 1EJ,,0,Registration expired on 12/06/2018,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000914,KAI Property Services Ltd,KAI,Company,"KAI Group, 40 Ocein Drive, East Kilbride, Glasgow, G75 8RJ",KAI Group,G75 8RJ,https://www.kaips.co.uk,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000366,Karen Fraser,Karen Fraser Factor,Sole Trader,"Armutalan Erray Rd, Tobermory, Isle of Mull, PA75 6PS",Armutalan Erray Rd,PA75 6PS,,0,Registration expired on 08/11/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000839,Keith Innes,Lightbulb Moments,Sole Trader,"77f1 Parkhead Loan, Edinburgh, EH11 4SL",Edinburgh,EH11 4SL,,0,Registration expired on 17/09/2025,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000193,Kingdom Housing Association Ltd,Kingdom Housing Association Ltd,Registered Social Landlord,"Saltire Centre, Pentland Court, Glenrothes, Fife, KY6 2DA",Saltire Centre,KY6 2DA,https://www.kingdomhousing.org.uk,1436,Registered,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-19,2014-02-19,HOHP/PF/13/0075
PF000890,Kingdom Initiatives Limited,Kingdom Initiatives Limited,Company,"Saltire Centre, Pentland Court, GLENROTHES, KY6 2DA",Saltire Centre,KY6 2DA,https://www.kingdomhousing.org.uk/about-us/initiat,8,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000120,Klin Facilities Management Limited,Klin Facilities Management Limited,Company,"The Andrew Barclay Railway Heritage Centre, West Langlands Street, Kilmarnock, KA1 2PY",West Langlands Street,KA1 2PY,,62,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000454,Knight Property Services Scotland Ltd,Knight Property Services Scotland Ltd,Company,"127 Lammermuir Way, Chapelhall, Airdrie, ML6 8JB",Chapelhall,ML6 8JB,,0,Registration expired on 01/08/2016,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000201,Knowes Housing Association Ltd,Knowes Housing Association Ltd,Registered Social Landlord,"10 Field Road, Faifley, Clydebank, G81 5BX",Faifley,G81 5BX,https://www.knowes.org,1603,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001001,Kona Property Management Ltd,Kona Property Management,Company,"7 Windmill Court, Windmill Road, Hamilton, ML3 6LR",Windmill Road,ML3 6LR,,0,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000520,KPM Residential Limited,KPM Residential Limited,Company,"23 Park Circus, Glasgow, G3 6AP",Glasgow,G3 6AP,,0,Registration expired on 06/03/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000656,Ladysbridge Village Ltd,Ladysbridge Village Ltd,Company,"Unit B, Inverboyndie Industrial Estate, Banff, Aberdeenshire, AB45 2JJ",Unit B,AB45 2JJ,,19,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000658,Laird Property Solutions Ltd,Laird Property Solutions Ltd,Company,"8 Royal Scot Way, Dunfermline, KY12 0PS",Dunfermline,KY12 0PS,,0,Registration expired on 02/12/2022,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000275,Lanarkshire Housing Association Ltd,Lanarkshire Housing Association Ltd,Registered Social Landlord,"191 Brandon Street, Motherwell, ML1 1RS",Motherwell,ML1 1RS,https://www.lanarkshireha.com,1041,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000716,Lancefield Quay Riverside Limited,Lancefield Quay Riverside Limited,Company,"Caretaker's Office, 77 Lancefield Quay, Glasgow, G3 8HA",Caretaker's Office,G3 8HA,,0,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021-10-13,2021-10-13,FTS/HPC/PF/21/1569
PF000732,Land Trust Estates Scotland Limited,Land Trust Estates Scotland Limited,Company,"c/o T C Young, 7 West George St, Glasgow, G2 1BA",c/o T C Young,G2 1BA,,0,Registration expired on 28/11/2023,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000705,Land Trust Residential Services Limited,Land Trust Residential Services Limited,Company,"7 Birchwood One, Dewhurst Road, Birchwood, Warrington, WA3 7GB",Dewhurst Road,WA3 7GB,,0,Registration expired on 23/12/2019,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
