registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000666,Langstane Housing Association Limited,Langstane Housing Association Limited,Registered Social Landlord,"680 King Street, Aberdeen, AB24 1SL",Aberdeen,AB24 1SL,http://www.langstane-ha.co.uk/,95,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000815,LAR Housing Trust,LAR Housing Trust,Other Legal Status,"Buchan House, Enterprise Way, Dunfermline, KY11 8PL",Buchan House,KY11 8PL,https://www.larhousingtrust.co.uk,40,Registered,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2018-08-27,2018-08-27,FTS/HPC/PF/18/1186
PF000814,LAR Operations C.I.C.,LAR Property Management,Company,"F3 Buchan House, Enterprise Way, Dunfermline, KY11 8PL",Enterprise Way,KY11 8PL,https://www.larhousingtrust.co.uk,168,Registered,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,2021-07-29,2024-07-24,FTS/HPC/PF/22/3577 | FTS/HPC/PF/22/3578 | FTS/HPC/LM/22/3579 | FTS/HPC/PF/21/1062
PF000279,Larkfield Housing Association Limited,Larkfield Housing,Registered Social Landlord,"14 Lothian Road, Greenock, PA16 0PG",Greenock,PA16 0PG,https://www.larkfieldha.org.uk/,960,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000752,Lettingsupermarket.com Limited,Lettingsupermarket.com Limited,Company,"Unit 5, Bicton Business Park, Shrewsbury, SY3 8DY",Bicton Business Park,SY3 8DY,,0,Registration expired on 18/01/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000096,Levern Property Services Ltd,Levern Property Services Ltd,Registered Social Landlord,"60-70 Main Street, Barrhead, G78 1SB",Barrhead,G78 1SB,,0,Registration expired on 07/03/2025,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2020-03-02,2020-03-02,FTS/HPC/PF/19/2980
PF000203,Life Property Management Ltd,Life Property Management Ltd,Company,"Regent Court, 70 West Regent Street, Glasgow, G2 2QZ",Regent Court,G2 2QZ,,0,Registration expired on 07/09/2022,17,12,4,1,1,1,3,2,2,3,2,0,1,0,9,3,5,10,7,4,3,9,4,10,2013-07-30,2021-06-16,FTS/HPC/PF/16/1009 | FTS/HPC/PF/17/0322 | FTS/HPC/PF/18/0199 | FTS/HPC/PF/20/1955 | FTS/HPC/PF/20/1954 | FTS/HPC/PF/20/1956 | FTS/HPC/PF/20/1957 | FTS/HPC/PF/20/1958 | FTS/HPC/PF/20/1959 | FTS/HPC/PF/20/1960 | FTS/HPC/PF/20/1961 | FTS/HPC/PF/20/1962 | FTS/HPC/PF/20/1969 | FTS/HPC/PF/20/1970 | FTS/HPC/PF/20/1971 | FTS/HPC/PF/20/1973 | FTS/HPC/PF/20/1974 | FTS/HPC/PF/20/1975 | FTS/HPC/PF/20/1977 | FTS/HPC/PF/20/1979 | FTS/HPC/PF/20/1981 | FTS/HPC/PF/20/1964 | FTS/HPC/GP/20/0389 | FTS/HPC/PF/19/2658 | FTS/HPC/PF/19/0802 | FTS/HPC/PF/18/1249 | PF000203 | FTS/HPC/LM/17/0245 | FTS/HPC/LM/17/0245 | HOHP/PF/16/0087 | HOHP/PF/16/0023 | HOHP/PF/15/0087 | HOHP/PF/15/0051 | HOHP/PF/15/0021 | HOHP/PF/13/0060 | FTS/HPC/PF/17/0412
PF000355,Link Housing Association Limited,Link Housing Association Limited,Company,"Link House, 2C New Mart Road, Edinburgh, EH14 1RL",Link House,EH14 1RL,,0,Registration expired on 07/03/2025,10,7,3,0,3,0,3,5,1,3,3,0,0,0,1,0,2,4,2,2,3,6,5,7,2015-02-12,2019-11-21,FTS/HPC/PF/19/2160 | FTS/HPC/PF/19/2160 | FTS/HPC/LM/18/1725 | FTS/HPC/PF/18/1922 | FTS/HPC/PF/17/0304 | FTS/HPC/PF/17/0253 | FTS/HPC/PF/17/0129 | HOHP/PF/16/0014 | HOHP/PF/16/0014 | HOHP/PF/14/0026
PF000202,Linstone Housing Association Limited,Linstone Housing Association Limited,Registered Social Landlord,"17 Bridge Street, Linwood, PA3 3DB",Linwood,PA3 3DB,https://www.linstone.co.uk,4885,Registered,6,4,2,0,2,1,2,0,3,2,0,0,0,0,1,0,3,4,2,0,0,2,0,4,2017-01-20,2017-02-15,HOHP/PF/16/0108 | HOHP/PF/16/0108 | HOHP/PF/16/0108 | HOHP-PF-15-0143 | HOHP/PF/16/0107 | HOHP/PF/16/0107
PF000162,Linthouse Housing Association Limited,Linthouse Housing Association Limited,Registered Social Landlord,"1 Cressy Street, Glasgow, G51 4RB",Glasgow,G51 4RB,https://www.linthouseha.com,1070,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
